mode,minutes,contracts,consumers,mean_ms_per_refresh,p95_ms_per_refresh,allocated_bytes_per_refresh,input_events
PreviousCompletedFixed,1,42,1,0.0001,0.0002,224,60480
PreviousCompletedFixed,1,42,2,0.0003,0.0003,448,120960
PreviousCompletedFixed,1,42,8,0.0011,0.0016,1792,483840
PreviousCompletedFixed,1,84,1,0.0002,0.0003,448,120960
PreviousCompletedFixed,1,84,2,0.0007,0.0012,896,241920
PreviousCompletedFixed,1,84,8,0.0018,0.0022,3584,967680
PreviousCompletedFixed,3,42,1,0.0002,0.0002,224,60480
PreviousCompletedFixed,3,42,2,0.0003,0.0003,448,120960
PreviousCompletedFixed,3,42,8,0.0009,0.0014,1792,483840
PreviousCompletedFixed,3,84,1,0.0003,0.0007,448,120960
PreviousCompletedFixed,3,84,2,0.0005,0.0011,896,241920
PreviousCompletedFixed,3,84,8,0.0018,0.0021,3584,967680
PreviousCompletedFixed,5,42,1,0.0001,0.0002,224,60480
PreviousCompletedFixed,5,42,2,0.0004,0.0005,448,120960
PreviousCompletedFixed,5,42,8,0.0015,0.0021,1792,483840
PreviousCompletedFixed,5,84,1,0.0002,0.0003,448,120960
PreviousCompletedFixed,5,84,2,0.0005,0.0009,896,241920
PreviousCompletedFixed,5,84,8,0.0021,0.0025,3584,967680
PreviousCompletedFixed,10,42,1,0.0002,0.0002,224,60480
PreviousCompletedFixed,10,42,2,0.0003,0.0004,448,120960
PreviousCompletedFixed,10,42,8,0.0009,0.0013,1792,483840
PreviousCompletedFixed,10,84,1,0.0003,0.0003,448,120960
PreviousCompletedFixed,10,84,2,0.0005,0.0010,896,241920
PreviousCompletedFixed,10,84,8,0.0019,0.0023,3584,967680
Rolling,1,42,1,0.0224,0.0237,45512,504
Rolling,1,42,2,0.0484,0.0495,91024,1008
Rolling,1,42,8,0.3055,0.3872,364096,4032
Rolling,1,84,1,0.0779,0.0793,91024,1008
Rolling,1,84,2,0.1654,0.2941,182048,2016
Rolling,1,84,8,0.4973,0.5086,728192,8064
Rolling,3,42,1,0.0283,0.0290,45512,1512
Rolling,3,42,2,0.0514,0.0532,91024,3024
Rolling,3,42,8,0.2707,0.2892,364096,12096
Rolling,3,84,1,0.0575,0.0624,91024,3024
Rolling,3,84,2,0.1227,0.1979,182048,6048
Rolling,3,84,8,1.1080,2.3899,728193,24192
Rolling,5,42,1,0.0478,0.0986,45512,2520
Rolling,5,42,2,0.0510,0.0535,91024,5040
Rolling,5,42,8,0.3603,0.4722,364096,20160
Rolling,5,84,1,0.0892,0.1455,91024,5040
Rolling,5,84,2,0.1313,0.1269,182048,10080
Rolling,5,84,8,0.4857,0.5828,728192,40320
Rolling,10,42,1,0.0302,0.0406,45512,5040
Rolling,10,42,2,0.0694,0.0731,91024,10080
Rolling,10,42,8,0.2679,0.3235,364096,40320
Rolling,10,84,1,0.0539,0.0587,91024,10080
Rolling,10,84,2,0.1219,0.1526,182048,20160
Rolling,10,84,8,0.5363,0.8007,728192,80640
