mode,minutes,contracts,consumers,mean_ms_per_refresh,p95_ms_per_refresh,allocated_bytes_per_refresh,input_events
PreviousCompletedFixed,1,42,1,0.0001,0.0002,224,60480
PreviousCompletedFixed,1,42,2,0.0002,0.0002,448,120960
PreviousCompletedFixed,1,42,8,0.0010,0.0015,1792,483840
PreviousCompletedFixed,1,84,1,0.0002,0.0002,448,120960
PreviousCompletedFixed,1,84,2,0.0004,0.0008,896,241920
PreviousCompletedFixed,1,84,8,0.0016,0.0020,3584,967680
PreviousCompletedFixed,3,42,1,0.0002,0.0002,224,60480
PreviousCompletedFixed,3,42,2,0.0003,0.0003,448,120960
PreviousCompletedFixed,3,42,8,0.0008,0.0012,1792,483840
PreviousCompletedFixed,3,84,1,0.0003,0.0003,448,120960
PreviousCompletedFixed,3,84,2,0.0004,0.0008,896,241920
PreviousCompletedFixed,3,84,8,0.0018,0.0023,3584,967680
PreviousCompletedFixed,5,42,1,0.0002,0.0002,224,60480
PreviousCompletedFixed,5,42,2,0.0002,0.0003,448,120960
PreviousCompletedFixed,5,42,8,0.0009,0.0013,1792,483840
PreviousCompletedFixed,5,84,1,0.0003,0.0004,448,120960
PreviousCompletedFixed,5,84,2,0.0005,0.0009,896,241920
PreviousCompletedFixed,5,84,8,0.0018,0.0021,3584,967680
PreviousCompletedFixed,10,42,1,0.0002,0.0002,224,60480
PreviousCompletedFixed,10,42,2,0.0002,0.0003,448,120960
PreviousCompletedFixed,10,42,8,0.0009,0.0013,1792,483840
PreviousCompletedFixed,10,84,1,0.0003,0.0003,448,120960
PreviousCompletedFixed,10,84,2,0.0004,0.0008,896,241920
PreviousCompletedFixed,10,84,8,0.0034,0.0040,3584,967680
Rolling,1,42,1,0.0253,0.0267,45512,504
Rolling,1,42,2,0.0511,0.0552,91024,1008
Rolling,1,42,8,0.2231,0.2813,364096,4032
Rolling,1,84,1,0.0576,0.1032,91024,1008
Rolling,1,84,2,0.1272,0.2712,182048,2016
Rolling,1,84,8,0.5006,0.5509,728192,8064
Rolling,3,42,1,0.0278,0.0285,45512,1512
Rolling,3,42,2,0.0653,0.0952,91024,3024
Rolling,3,42,8,0.2661,0.2866,364096,12096
Rolling,3,84,1,0.0564,0.0598,91024,3024
Rolling,3,84,2,0.1112,0.1186,182048,6048
Rolling,3,84,8,1.3406,2.2787,728230,24192
Rolling,5,42,1,0.0382,0.0323,45512,2520
Rolling,5,42,2,0.0838,0.0895,91024,5040
Rolling,5,42,8,0.3529,0.3313,364096,20160
Rolling,5,84,1,0.0631,0.0915,91024,5040
Rolling,5,84,2,0.1311,0.2090,182048,10080
Rolling,5,84,8,0.4360,0.5503,728192,40320
Rolling,10,42,1,0.0261,0.0271,45512,5040
Rolling,10,42,2,0.0641,0.0665,91024,10080
Rolling,10,42,8,0.2194,0.2510,364096,40320
Rolling,10,84,1,0.0546,0.0627,91024,10080
Rolling,10,84,2,0.1713,0.3146,182048,20160
Rolling,10,84,8,0.6976,1.2422,728192,80640
