mode,minutes,contracts,consumers,mean_ms_per_refresh,p95_ms_per_refresh,allocated_bytes_per_refresh,input_events
PreviousCompletedFixed,1,42,1,0.0001,0.0003,224,60480
PreviousCompletedFixed,1,42,2,0.0002,0.0003,448,120960
PreviousCompletedFixed,1,42,8,0.0009,0.0015,1792,483840
PreviousCompletedFixed,1,84,1,0.0003,0.0004,448,120960
PreviousCompletedFixed,1,84,2,0.0007,0.0012,896,241920
PreviousCompletedFixed,1,84,8,0.0019,0.0023,3584,967680
PreviousCompletedFixed,3,42,1,0.0002,0.0003,224,60480
PreviousCompletedFixed,3,42,2,0.0003,0.0004,448,120960
PreviousCompletedFixed,3,42,8,0.0010,0.0015,1792,483840
PreviousCompletedFixed,3,84,1,0.0004,0.0009,448,120960
PreviousCompletedFixed,3,84,2,0.0006,0.0011,896,241920
PreviousCompletedFixed,3,84,8,0.0020,0.0024,3584,967680
PreviousCompletedFixed,5,42,1,0.0002,0.0002,224,60480
PreviousCompletedFixed,5,42,2,0.0003,0.0003,448,120960
PreviousCompletedFixed,5,42,8,0.0009,0.0014,1792,483840
PreviousCompletedFixed,5,84,1,0.0003,0.0003,448,120960
PreviousCompletedFixed,5,84,2,0.0005,0.0011,896,241920
PreviousCompletedFixed,5,84,8,0.0021,0.0025,3584,967680
PreviousCompletedFixed,10,42,1,0.0003,0.0003,224,60480
PreviousCompletedFixed,10,42,2,0.0003,0.0003,448,120960
PreviousCompletedFixed,10,42,8,0.0009,0.0014,1792,483840
PreviousCompletedFixed,10,84,1,0.0003,0.0003,448,120960
PreviousCompletedFixed,10,84,2,0.0005,0.0010,896,241920
PreviousCompletedFixed,10,84,8,0.0020,0.0024,3584,967680
Rolling,1,42,1,0.0222,0.0227,45512,504
Rolling,1,42,2,0.0436,0.0462,91024,1008
Rolling,1,42,8,0.2831,0.3733,364096,4032
Rolling,1,84,1,0.0589,0.0615,91024,1008
Rolling,1,84,2,0.1220,0.1249,182048,2016
Rolling,1,84,8,0.4581,0.4808,728192,8064
Rolling,3,42,1,0.0262,0.0268,45512,1512
Rolling,3,42,2,0.0502,0.0514,91024,3024
Rolling,3,42,8,0.2644,0.4215,364096,12096
Rolling,3,84,1,0.0666,0.1340,91024,3024
Rolling,3,84,2,0.1588,0.2050,182048,6048
Rolling,3,84,8,1.0334,2.1614,728216,24192
Rolling,5,42,1,0.0365,0.0261,45512,2520
Rolling,5,42,2,0.0501,0.0555,91024,5040
Rolling,5,42,8,0.2698,0.2914,364096,20160
Rolling,5,84,1,0.0598,0.0791,91024,5040
Rolling,5,84,2,0.1225,0.1195,182048,10080
Rolling,5,84,8,0.6244,0.6866,728192,40320
Rolling,10,42,1,0.0333,0.0339,45512,5040
Rolling,10,42,2,0.0771,0.0683,91024,10080
Rolling,10,42,8,0.2317,0.2794,364096,40320
Rolling,10,84,1,0.0559,0.0633,91024,10080
Rolling,10,84,2,0.1592,0.2297,182048,20160
Rolling,10,84,8,0.6892,1.0317,728192,80640
